col_id,col_name,col_group,col_group_id,group_col_id,col_area,project_id,refs,max_thick,max_min_thick,min_min_thick,b_age,t_age,b_int_name,t_int_name,pbdb_collections,lith,environ,econ,t_units,t_sections
1478,Campbell Range,Sheet 2: Canadian Cordillera,37,56,19772.8,1,10,2975,2975,1100,798.499,322.15,Hadrynian,Morrowan,0,shale siliciclastic sedimentary  ~ 0.154|siltstone siliciclastic sedimentary  ~ 0.0516|sandstone siliciclastic sedimentary  ~ 0.1353|arkose siliciclastic sedimentary  ~ 0.0119|conglomerate siliciclastic sedimentary  ~ 0.1353|breccia siliciclastic sedimentary  ~ 0.0119|limestone carbonate sedimentary  ~ 0.0208|dolomite carbonate sedimentary  ~ 0.1191|granodiorite plutonic igneous  ~ 0.1667|tuff volcanic igneous  ~ 0.0119|mylonite metamorphic metamorphic  ~ 0.0208|phyllite metasedimentary metamorphic  ~ 0.0119|quartzite metasedimentary metamorphic  ~ 0.0238|amphibolite metamorphic metamorphic  ~ 0.1042|serpentinite metamorphic metamorphic  ~ 0.0208,alluvial fan landscape non-marine  ~ 0.2|inferred marine  marine  ~ 0.8,,6,1
378,Northwestern New Hampshire,NE,11,11,7523.5,1,1,10000,10000,0,417.1,373.9,Gedinnian,Chemungian,0,granite plutonic igneous  ~ 0.3667|slate metasedimentary metamorphic  ~ 0.1667|phyllite metasedimentary metamorphic  ~ 0.203|quartzite metasedimentary metamorphic  ~ 0.197|marble metasedimentary metamorphic  ~ 0.0333|diabase plutonic igneous  ~ 0.0333,inferred marine  marine  ~ 1,,5,3
1624,"Peace River Plains, Fort St. John",Sheet 2: Prairie Provinces and British Columbia,45,39,37429,1,12,1304,1119,1119,389.5666,358.9,Eifelian,Famennian,6,shale siliciclastic sedimentary  ~ 0.2381|sandstone siliciclastic sedimentary  ~ 0.2262|limestone carbonate sedimentary  ~ 0.3512|dolomite carbonate sedimentary  ~ 0.1488|halite evaporite sedimentary  ~ 0.0179|anhydrite evaporite sedimentary  ~ 0.0179,inferred marine  marine  ~ 1,,14,2
249,Taylorsville,NCA,10,16,11459.8,1,1,1760,260,100,383.95,358.9,Givetian,Famennian,0,mudstone siliciclastic sedimentary  ~ 0.0714|breccia siliciclastic sedimentary  ~ 0.1389|limestone carbonate sedimentary  ~ 0.0278|chert chemical sedimentary  ~ 0.0278|rhyolite volcanic igneous  ~ 0.1389|tuff volcanic igneous  ~ 0.1389|slate metasedimentary metamorphic  ~ 0.0278|quartzite metasedimentary metamorphic  ~ 0.3572|argillite siliciclastic sedimentary  ~ 0.0714,inferred marine  marine  ~ 1,,2,1
1494,Cariboo Lake,Sheet 3: Canadian Cordillera,40,79,13946.8,1,10,420,420,420,420.15,349.75,Pridoli,Tournaisian,0,shale siliciclastic sedimentary  ~ 0.1042|siltstone siliciclastic sedimentary  ~ 0.0208|conglomerate siliciclastic sedimentary  ~ 0.2083|breccia siliciclastic sedimentary  ~ 0.25|limestone carbonate sedimentary  ~ 0.0208|basalt volcanic igneous  ~ 0.25|slate metasedimentary metamorphic  ~ 0.1042|quartzite metasedimentary metamorphic  ~ 0.0417,inferred marine  marine  ~ 1,,4,2
312,East-central New York,NAP,9,29,24074.2,1,1,3028,2353,1502,419.2,370.4,Gedinnian,Cassadagan,828,mudstone siliciclastic sedimentary  ~ 0.0222|shale siliciclastic sedimentary  ~ 0.314|siltstone siliciclastic sedimentary  ~ 0.162|sandstone siliciclastic sedimentary  ~ 0.1364|conglomerate siliciclastic sedimentary  ~ 0.0151|limestone carbonate sedimentary  ~ 0.3502,marine  marine  ~ 0.1818|inferred marine  marine  ~ 0.8182,,22,7
106,"Stafford County, Kansas",MC,7,24,18980.8,1,1,13,13,0,365,363.475,Conewangan,Conewangan,0,shale siliciclastic sedimentary  ~ 0.875|sandstone siliciclastic sedimentary  ~ 0.125,inferred marine  marine  ~ 1,,1,1
496,South Park Basin,CSR,3,22,27987.4,1,1,112,42,42,382.7,358.9,Fingerlakesian,Famennian,0,shale siliciclastic sedimentary  ~ 0.0714|sandstone siliciclastic sedimentary  ~ 0.3572|limestone carbonate sedimentary  ~ 0.25|dolomite carbonate sedimentary  ~ 0.3215,inferred marine  marine  ~ 1,,2,1
64,Sacramento Mountains,SSMC,19,17,22083.6,1,1,57,20,20,391.9,357.05,Eifelian,Kinderhookian,59,shale siliciclastic sedimentary  ~ 0.506|siltstone siliciclastic sedimentary  ~ 0.1786|sandstone siliciclastic sedimentary  ~ 0.0357|limestone carbonate sedimentary  ~ 0.2441|dolomite carbonate sedimentary  ~ 0.0357,inferred marine  marine  ~ 1,,4,3
447,Cumberland Saddle - South Central Kentucky,MBA,6,22,14593.8,1,1,105,98,12,419.2,358.9,Gedinnian,Famennian,2,shale siliciclastic sedimentary  ~ 0.2917|limestone carbonate sedimentary  ~ 0.5208|dolomite carbonate sedimentary  ~ 0.125|chert chemical sedimentary  ~ 0.0625,inferred marine  marine  ~ 1,oil reservoir hydrocarbon energy  ~ 0.4|gas reservoir hydrocarbon energy  ~ 0.6,8,4
