col_id,col_name,col_group,col_group_id,group_col_id,col_area,project_id,refs,max_thick,max_min_thick,min_min_thick,b_age,t_age,b_int_name,t_int_name,pbdb_collections,lith,environ,econ,t_units,t_sections
1478,Campbell Range,Sheet 2: Canadian Cordillera,37,56,19772.8,1,10,3750,3750,0,798.499,298.9,Hadrynian,Virgilian,0,sandstone siliciclastic sedimentary  ~ 0.0714|arkose siliciclastic sedimentary  ~ 0.0143|conglomerate siliciclastic sedimentary  ~ 0.0714|breccia siliciclastic sedimentary  ~ 0.0143|granodiorite plutonic igneous  ~ 0.2|tuff volcanic igneous  ~ 0.0143|gneiss metamorphic metamorphic  ~ 0.2|phyllite metasedimentary metamorphic  ~ 0.0143|marble metasedimentary metamorphic  ~ 0.2|quartz monzonite plutonic igneous  ~ 0.2,inferred marine  marine  ~ 1,,5,1
1624,"Peace River Plains, Fort St. John",Sheet 2: Prairie Provinces and British Columbia,45,39,37429,1,12,1650,1650,1650,358.9,323.2,Tournaisian,Serpukhovian,2,shale siliciclastic sedimentary  ~ 0.2421|siltstone siliciclastic sedimentary  ~ 0.0238|sandstone siliciclastic sedimentary  ~ 0.1905|limestone carbonate sedimentary  ~ 0.496|dolomite carbonate sedimentary  ~ 0.0476,inferred marine  marine  ~ 1,,6,1
249,Taylorsville,NCA,10,16,11459.8,1,1,3640,3640,0,358.9,282,Kinderhookian,Wolfcampian,1,shale siliciclastic sedimentary  ~ 0.0926|breccia siliciclastic sedimentary  ~ 0.3943|limestone carbonate sedimentary  ~ 0.0926|chert chemical sedimentary  ~ 0.0196|rhyolite volcanic igneous  ~ 0.098|andesite volcanic igneous  ~ 0.0185|basalt volcanic igneous  ~ 0.0556|tuff volcanic igneous  ~ 0.2092|slate metasedimentary metamorphic  ~ 0.0196,marine  marine  ~ 0.3333|inferred marine  marine  ~ 0.6667,,3,1
1494,Cariboo Lake,Sheet 3: Canadian Cordillera,40,79,13946.8,1,10,825,825,825,391.9,268.8,Eifelian,Roadian,0,shale siliciclastic sedimentary  ~ 0.1033|siltstone siliciclastic sedimentary  ~ 0.0167|greywacke siliciclastic sedimentary  ~ 0.02|conglomerate siliciclastic sedimentary  ~ 0.1667|limestone carbonate sedimentary  ~ 0.4167|chert chemical sedimentary  ~ 0.02|diorite plutonic igneous  ~ 0.02|basalt volcanic igneous  ~ 0.1|slate metasedimentary metamorphic  ~ 0.0833|quartzite metasedimentary metamorphic  ~ 0.0333|diabase plutonic igneous  ~ 0.02,inferred marine  marine  ~ 1,,5,1
106,"Stafford County, Kansas",MC,7,24,18980.8,1,1,375,375,0,312,294.675,Desmoinesian,Wolfcampian,0,shale siliciclastic sedimentary  ~ 0.4618|siltstone siliciclastic sedimentary  ~ 0.0147|sandstone siliciclastic sedimentary  ~ 0.0222|conglomerate siliciclastic sedimentary  ~ 0.0263|limestone carbonate sedimentary  ~ 0.4392|chert chemical sedimentary  ~ 0.0358,marine  marine  ~ 0.3684|inferred marine  marine  ~ 0.6316,gas indet. hydrocarbon energy  ~ 0.5|oil indet. hydrocarbon energy  ~ 0.5,38,1
361,Southern Alabama Piedmont,PBR,15,13,5517.8,1,1,0,0,0,326.15,305.425,Chesterian,Missourian,0,granite plutonic igneous  ~ 1,,,1,1
496,South Park Basin,CSR,3,22,27987.4,1,1,11439,3567,3561,358.9,294.675,Kinderhookian,Wolfcampian,2,shale siliciclastic sedimentary  ~ 0.2381|siltstone siliciclastic sedimentary  ~ 0.2778|sandstone siliciclastic sedimentary  ~ 0.2196|conglomerate siliciclastic sedimentary  ~ 0.1111|carbonate carbonate sedimentary  ~ 0.1349|dolomite carbonate sedimentary  ~ 0.0185,marine  marine  ~ 0.0909|eolian indet. eolian non-marine  ~ 0.1818|non-marine  non-marine  ~ 0.1818|inferred marine  marine  ~ 0.5455,,9,3
64,Sacramento Mountains,SSMC,19,17,22083.6,1,1,1529,952,721,360.425,298.9,Conewangan,Virgilian,21,shale siliciclastic sedimentary  ~ 0.2518|siltstone siliciclastic sedimentary  ~ 0.0156|sandstone siliciclastic sedimentary  ~ 0.0747|marl carbonate sedimentary  ~ 0.0313|limestone carbonate sedimentary  ~ 0.6267,marine  marine  ~ 0.25|inferred marine  marine  ~ 0.75,,8,3
447,Cumberland Saddle - South Central Kentucky,MBA,6,22,14593.8,1,1,959,736,170,358.9,319.7,Kinderhookian,Morrowan,31,shale siliciclastic sedimentary  ~ 0.2645|siltstone siliciclastic sedimentary  ~ 0.0615|sandstone siliciclastic sedimentary  ~ 0.2045|conglomerate siliciclastic sedimentary  ~ 0.0644|limestone carbonate sedimentary  ~ 0.3765|dolomite carbonate sedimentary  ~ 0.0287,marine  marine  ~ 0.1364|fluvial indet. fluvial non-marine  ~ 0.0455|inferred marine  marine  ~ 0.8182,oil-prone source hydrocarbon energy  ~ 0.1429|oil reservoir hydrocarbon energy  ~ 0.4286|gas reservoir hydrocarbon energy  ~ 0.2857|brick construction material  ~ 0.1429,22,3
1627,Swan Hills,Sheet 2: Prairie Provinces and British Columbia,45,42,78234.5,1,12,390,390,390,355.85,342.75,Tournaisian,Visean,0,shale siliciclastic sedimentary  ~ 0.0357|siltstone siliciclastic sedimentary  ~ 0.0357|limestone carbonate sedimentary  ~ 0.6429|dolomite carbonate sedimentary  ~ 0.2143|anhydrite evaporite sedimentary  ~ 0.0714,inferred marine  marine  ~ 1,,4,1
