col_id,col_name,col_group,col_group_id,group_col_id,col_area,project_id,refs,max_thick,max_min_thick,min_min_thick,b_age,t_age,b_int_name,t_int_name,pbdb_collections,lith,environ,econ,t_units,t_sections
597,Montmagny-Thetford Mines,II,22,18,8541.9,1,2,400,400,0,427.4,422.05,Ludlow,Pridoli,0,limestone carbonate sedimentary  ~ 0.4545|quartzite metasedimentary metamorphic  ~ 0.4545|argillite siliciclastic sedimentary  ~ 0.0909,inferred marine  marine  ~ 1,,1,1
425,"West-central Prince of Wales Island Craig Area, Southeast Alaska",SAL,16,33,15225.7,1,1,7000,7000,0,470,407.6,Whiterock,Siegenian,28,sandstone siliciclastic sedimentary  ~ 0.381|conglomerate siliciclastic sedimentary  ~ 0.0476|breccia siliciclastic sedimentary  ~ 0.1515|limestone carbonate sedimentary  ~ 0.2381|andesite volcanic igneous  ~ 0.1818,open shallow subtidal carbonate marine  ~ 0.3333|marine  marine  ~ 0.3333|inferred marine  marine  ~ 0.3333,,3,1
385,Southern Maine,NE,11,18,22863.6,1,1,6337,5530,2330,443.8,404.025,Rhuddanian,Emsian,0,sandstone siliciclastic sedimentary  ~ 0.1191|greywacke siliciclastic sedimentary  ~ 0.1786|slate metasedimentary metamorphic  ~ 0.2083|phyllite metasedimentary metamorphic  ~ 0.494,inferred marine  marine  ~ 1,,4,2
765,"Amisk, Wildnest Lakes",I,21,18,89147.1,1,2,0,0,0,445.1,423,Ashgill,Ludlow,0,carbonate carbonate sedimentary  ~ 1,inferred marine  marine  ~ 1,,2,1
520,East Basin Texas (east),GC,5,5,37427.8,1,1,2954,2954,0,470,323.2,Whiterock,Chesterian,0,metamorphic metamorphic metamorphic  ~ 0.25|slate metasedimentary metamorphic  ~ 0.25|phyllite metasedimentary metamorphic  ~ 0.25|quartzite metasedimentary metamorphic  ~ 0.25,,,1,1
443,Cincinnati Arch - Southwestern Ohio,MBA,6,18,12681.5,1,1,269,155,45,443.3,426.3,Rhuddanian,Ludlow,60,silt siliciclastic sedimentary  ~ 0.0147|shale siliciclastic sedimentary  ~ 0.2304|mixed carbonate-siliciclastic carbonate sedimentary  ~ 0.0152|carbonate carbonate sedimentary  ~ 0.6711|limestone carbonate sedimentary  ~ 0.0245|chert chemical sedimentary  ~ 0.0294|clay siliciclastic sedimentary  ~ 0.0147,marine  marine  ~ 0.2353|inferred marine  marine  ~ 0.7647,,17,1
89,"Dallas/Madison Counties, Iowa",MC,7,12,19038.2,1,1,38,38,0,440.8,437.225,Aeronian,Telychian,0,dolomite carbonate sedimentary  ~ 0.8333|chert chemical sedimentary  ~ 0.1667,inferred marine  marine  ~ 1,,1,1
451,Nashville Dome Area - West Central Kentucky,MBA,6,26,17708.4,1,1,107,107,0,440.8,423,Aeronian,Ludlow,25,silt siliciclastic sedimentary  ~ 0.0429|shale siliciclastic sedimentary  ~ 0.1119|carbonate carbonate sedimentary  ~ 0.605|limestone carbonate sedimentary  ~ 0.2169|chert chemical sedimentary  ~ 0.0234,inferred marine  marine  ~ 1,,10,3
1480,Logan Mountains,Sheet 2: Canadian Cordillera,37,58,16453.9,1,10,1110,450,450,477.7,362.225,Arenigian,Famennian,0,mudstone siliciclastic sedimentary  ~ 0.0556|shale siliciclastic sedimentary  ~ 0.5334|sandstone siliciclastic sedimentary  ~ 0.1042|conglomerate siliciclastic sedimentary  ~ 0.1042|chert chemical sedimentary  ~ 0.0511|slate metasedimentary metamorphic  ~ 0.1515,inferred marine  marine  ~ 1,,3,1
1593,south James Bay lowland,"Sheet 3: so. Prairie Prov., Hudson/St.Lawrence Platform",46,74,45203,1,12,220,220,220,441.55,419.2,Rhuddanian,Pridoli,4,shale siliciclastic sedimentary  ~ 0.0787|siltstone siliciclastic sedimentary  ~ 0.037|sandstone siliciclastic sedimentary  ~ 0.0893|limestone carbonate sedimentary  ~ 0.2798|dolomite carbonate sedimentary  ~ 0.4412|halite evaporite sedimentary  ~ 0.037|anhydrite evaporite sedimentary  ~ 0.037,inferred marine  marine  ~ 1,,3,1
1478,Campbell Range,Sheet 2: Canadian Cordillera,37,56,19772.8,1,10,3475,3475,1600,798.499,322.15,Hadrynian,Morrowan,0,shale siliciclastic sedimentary  ~ 0.2083|siltstone siliciclastic sedimentary  ~ 0.0774|sandstone siliciclastic sedimentary  ~ 0.0893|arkose siliciclastic sedimentary  ~ 0.0179|conglomerate siliciclastic sedimentary  ~ 0.0893|breccia siliciclastic sedimentary  ~ 0.0179|dolomite carbonate sedimentary  ~ 0.1786|tuff volcanic igneous  ~ 0.0179|phyllite metasedimentary metamorphic  ~ 0.2678|quartzite metasedimentary metamorphic  ~ 0.0357,inferred marine  marine  ~ 1,,4,1
57,Sierra Diablo,SSMC,19,10,26722.7,1,1,137,91,91,443.8,431.9,Alexandrian,Wenlock,0,dolomite carbonate sedimentary  ~ 1,marine  marine  ~ 1,,1,1
378,Northwestern New Hampshire,NE,11,11,7523.5,1,1,200,110,10,438.5,419.2,Telychian,Pridoli,0,conglomerate siliciclastic sedimentary  ~ 0.0714|limestone carbonate sedimentary  ~ 0.0714|tuff volcanic igneous  ~ 0.4167|slate metasedimentary metamorphic  ~ 0.4405,inferred marine  marine  ~ 1,,2,1
249,Taylorsville,NCA,10,16,11459.8,1,1,4000,4000,0,471.925,419.2,Arenigian,Pridoli,0,mudstone siliciclastic sedimentary  ~ 0.3333|sandstone siliciclastic sedimentary  ~ 0.3333|chert chemical sedimentary  ~ 0.3333,inferred marine  marine  ~ 1,,1,1
55,Organ Mountain Southern San Andres Mountain,SSMC,19,9,8200.6,1,1,94,33,33,443.8,424.1,Alexandrian,Ludlow,0,dolomite carbonate sedimentary  ~ 1,inferred marine  marine  ~ 1,,1,1
1494,Cariboo Lake,Sheet 3: Canadian Cordillera,40,79,13946.8,1,10,120,120,120,451.35,410,Caradocian,Pragian,0,breccia siliciclastic sedimentary  ~ 0.5|slate metasedimentary metamorphic  ~ 0.5,inferred marine  marine  ~ 1,,2,2
314,Southeastern New York,NAP,9,31,6318.7,1,1,867,594,44,438.5,419.2,Telychian,Cayugan,1,shale siliciclastic sedimentary  ~ 0.2386|siltstone siliciclastic sedimentary  ~ 0.0877|sandstone siliciclastic sedimentary  ~ 0.1333|conglomerate siliciclastic sedimentary  ~ 0.0667|limestone carbonate sedimentary  ~ 0.0105|dolomite carbonate sedimentary  ~ 0.1298|evaporite evaporite sedimentary  ~ 0.0667|quartzite metasedimentary metamorphic  ~ 0.2667,inferred marine  marine  ~ 1,,5,1
312,East-central New York,NAP,9,29,24074.2,1,1,961,379,361,443.05,419.2,Rhuddanian,Cayugan,73,shale siliciclastic sedimentary  ~ 0.4843|siltstone siliciclastic sedimentary  ~ 0.0278|sandstone siliciclastic sedimentary  ~ 0.1367|limestone carbonate sedimentary  ~ 0.0267|dolomite carbonate sedimentary  ~ 0.2328|evaporite evaporite sedimentary  ~ 0.0111|halite evaporite sedimentary  ~ 0.0077|gypsum evaporite sedimentary  ~ 0.022|anhydrite evaporite sedimentary  ~ 0.0077|ironstone chemical sedimentary  ~ 0.01|quartzite metasedimentary metamorphic  ~ 0.0333,eolian indet. eolian non-marine  ~ 0.1|inferred marine  marine  ~ 0.9,,10,3
